,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16
3439,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3440,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0
3441,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
3442,2.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0
3443,6.0,9.0,2.0,3.0,6.0,6.0,6.0,4.0,6.0,3.0,2.0,6.0,4.0,4.0,4.0,3.0
3444,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3446,0.0,0.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0
3447,1.0,4.0,0.0,3.0,0.0,3.0,3.0,0.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0
3448,4.0,4.0,6.0,2.0,5.0,5.0,5.0,5.0,9.0,8.0,9.0,7.0,9.0,9.0,10.0,10.0
3449,5.0,6.0,4.0,4.0,3.0,9.0,6.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0
3450,2.0,2.0,1.0,0.0,1.0,3.0,5.0,3.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0
3451,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0
3452,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3453,0.0,2.0,1.0,6.0,2.0,4.0,1.0,1.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,5.0
3454,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
3455,5.0,1.0,6.0,4.0,3.0,0.0,7.0,5.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0
3456,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3457,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3458,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0
3459,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0
3460,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3461,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0
3462,2.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0
3463,2.0,2.0,2.0,5.0,0.0,5.0,1.0,6.0,3.0,5.0,2.0,6.0,5.0,5.0,5.0,6.0
3464,0.0,1.0,3.0,2.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3465,3.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
3466,2.0,2.0,5.0,8.0,1.0,3.0,4.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,-0.0,-0.0
3467,4.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,6.0,3.0,3.0,3.0,3.0,3.0
3468,3.0,4.0,5.0,0.0,3.0,3.0,5.0,3.0,4.0,8.0,4.0,3.0,5.0,5.0,5.0,5.0
3469,6.0,15.0,11.0,9.0,6.0,7.0,12.0,12.0,4.0,9.0,3.0,10.0,7.0,7.0,6.0,6.0
3470,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3471,3.0,4.0,0.0,5.0,4.0,4.0,2.0,4.0,4.0,2.0,7.0,8.0,6.0,6.0,7.0,7.0
3472,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0
3473,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3474,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3475,6.0,9.0,8.0,6.0,6.0,11.0,11.0,8.0,4.0,8.0,4.0,9.0,7.0,7.0,7.0,7.0
3476,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0
3477,6.0,8.0,8.0,12.0,5.0,4.0,5.0,9.0,2.0,0.0,1.0,0.0,-0.0,1.0,1.0,1.0
3478,0.0,2.0,2.0,3.0,3.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0
3479,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3480,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0
3481,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
3482,2.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3483,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3484,2.0,0.0,0.0,2.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0
3485,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
3486,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
3487,3.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0
3488,2.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0
3489,3.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,0.0,3.0,3.0,3.0,3.0
3490,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
3491,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3492,0.0,2.0,4.0,5.0,3.0,2.0,3.0,4.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0
3493,3.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0
3494,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0
3495,0.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0
3496,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
3497,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3498,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
3499,3.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0
